r(1st stage) = 7014.279, v=8.347 time=0.0
r(1st stage) = 13174.676, v=4.065 time=0.019281736746707422
r(1st stage) = 13177.330, v=4.063 time=0.019303232551330284
r(1st stage) = 13179.976, v=4.062 time=0.019324728355953145
r(1st stage) = 13182.614, v=4.060 time=0.01934622416057601
r(1st stage) = 13185.244, v=4.059 time=0.01936771996519887
r(1st stage) = 13187.865, v=4.058 time=0.019389215769821732
r(1st stage) = 13190.479, v=4.056 time=0.019410711574444593
r(1st stage) = 13193.084, v=4.055 time=0.019432207379067458
r(1st stage) = 13195.681, v=4.053 time=0.01945370318369032
r(1st stage) = 13198.270, v=4.052 time=0.01947519898831318
r(1st stage) = 13200.851, v=4.050 time=0.019496694792936045
r(1st stage) = 13203.423, v=4.049 time=0.019518190597558906
r(1st stage) = 13205.988, v=4.047 time=0.019539686402181768
r(1st stage) = 13208.544, v=4.046 time=0.01956118220680463
r(1st stage) = 13211.092, v=4.044 time=0.019582678011427494
r(1st stage) = 13213.631, v=4.043 time=0.019604173816050355
r(1st stage) = 13216.163, v=4.042 time=0.019625669620673216
r(1st stage) = 13218.686, v=4.040 time=0.01964716542529608
r(1st stage) = 13221.201, v=4.039 time=0.019668661229918942
r(1st stage) = 13223.708, v=4.037 time=0.019690157034541803
r(1st stage) = 13226.207, v=4.036 time=0.019711652839164664
r(1st stage) = 13228.697, v=4.034 time=0.01973314864378753
r(1st stage) = 13231.180, v=4.033 time=0.01975464444841039
r(1st stage) = 13233.653, v=4.032 time=0.01977614025303325
r(1st stage) = 13236.119, v=4.030 time=0.019797636057656116
r(1st stage) = 13238.577, v=4.029 time=0.019819131862278978
r(1st stage) = 13241.026, v=4.028 time=0.01984062766690184
r(1st stage) = 13243.467, v=4.026 time=0.0198621234715247
r(1st stage) = 13245.900, v=4.025 time=0.019883619276147565
r(1st stage) = 13248.324, v=4.023 time=0.019905115080770426
r(1st stage) = 13250.741, v=4.022 time=0.019926610885393287
r(1st stage) = 13253.149, v=4.021 time=0.019948106690016152
r(1st stage) = 13255.548, v=4.019 time=0.019969602494639013
r(1st stage) = 13257.940, v=4.018 time=0.019991098299261875
r(1st stage) = 13260.323, v=4.017 time=0.020012594103884736
r(1st stage) = 13262.698, v=4.015 time=0.0200340899085076
r(1st stage) = 13265.065, v=4.014 time=0.02005558571313046
r(1st stage) = 13267.423, v=4.013 time=0.020077081517753323
r(1st stage) = 13269.773, v=4.011 time=0.020098577322376188
r(1st stage) = 13272.115, v=4.010 time=0.02012007312699905
r(1st stage) = 13274.449, v=4.009 time=0.02014156893162191
r(1st stage) = 13276.774, v=4.007 time=0.02016306473624477
r(1st stage) = 13279.091, v=4.006 time=0.020184560540867636
r(1st stage) = 13281.400, v=4.005 time=0.020206056345490497
r(1st stage) = 13283.700, v=4.003 time=0.02022755215011336
r(1st stage) = 13285.992, v=4.002 time=0.020249047954736223
r(1st stage) = 13288.276, v=4.001 time=0.020270543759359085
r(1st stage) = 13290.551, v=4.000 time=0.020292039563981946
r(1st stage) = 13292.818, v=3.998 time=0.020313535368604807
r(1st stage) = 13295.077, v=3.997 time=0.02033503117322767
r(1st stage) = 13297.328, v=3.996 time=0.020356526977850533
r(1st stage) = 13299.570, v=3.994 time=0.020378022782473394
r(1st stage) = 13301.804, v=3.993 time=0.02039951858709626
r(1st stage) = 13304.029, v=3.992 time=0.02042101439171912
r(1st stage) = 13306.246, v=3.991 time=0.02044251019634198
r(1st stage) = 13308.455, v=3.989 time=0.020464006000964843
r(1st stage) = 13310.656, v=3.988 time=0.020485501805587707
r(1st stage) = 13312.848, v=3.987 time=0.02050699761021057
r(1st stage) = 13315.032, v=3.986 time=0.02052849341483343
r(1st stage) = 13317.207, v=3.985 time=0.020549989219456295
r(1st stage) = 13319.374, v=3.983 time=0.020571485024079156
r(1st stage) = 13321.533, v=3.982 time=0.020592980828702017
r(1st stage) = 13323.683, v=3.981 time=0.02061447663332488
r(1st stage) = 13325.825, v=3.980 time=0.020635972437947743
r(1st stage) = 13327.959, v=3.978 time=0.020657468242570604
r(1st stage) = 13330.084, v=3.977 time=0.020678964047193465
r(1st stage) = 13332.201, v=3.976 time=0.02070045985181633
r(1st stage) = 13334.309, v=3.975 time=0.02072195565643919
r(1st stage) = 13336.410, v=3.974 time=0.020743451461062053
r(1st stage) = 13338.501, v=3.973 time=0.020764947265684914
r(1st stage) = 13340.585, v=3.971 time=0.02078644307030778
r(1st stage) = 13342.660, v=3.970 time=0.02080793887493064
r(1st stage) = 13344.726, v=3.969 time=0.0208294346795535
r(1st stage) = 13346.784, v=3.968 time=0.020850930484176366
r(1st stage) = 13348.834, v=3.967 time=0.020872426288799227
r(1st stage) = 13350.876, v=3.966 time=0.02089392209342209
r(1st stage) = 13352.909, v=3.964 time=0.02091541789804495
r(1st stage) = 13354.933, v=3.963 time=0.020936913702667814
r(1st stage) = 13356.949, v=3.962 time=0.020958409507290676
r(1st stage) = 13358.957, v=3.961 time=0.020979905311913537
r(1st stage) = 13360.956, v=3.960 time=0.0210014011165364
r(1st stage) = 13362.947, v=3.959 time=0.021022896921159263
r(1st stage) = 13364.930, v=3.958 time=0.021044392725782124
r(1st stage) = 13366.904, v=3.957 time=0.021065888530404985
r(1st stage) = 13368.869, v=3.955 time=0.02108738433502785
r(1st stage) = 13370.826, v=3.954 time=0.02110888013965071
r(1st stage) = 13372.775, v=3.953 time=0.021130375944273572
r(1st stage) = 13374.715, v=3.952 time=0.021151871748896437
r(1st stage) = 13376.647, v=3.951 time=0.0211733675535193
r(1st stage) = 13378.570, v=3.950 time=0.02119486335814216
r(1st stage) = 13380.485, v=3.949 time=0.02121635916276502
r(1st stage) = 13382.392, v=3.948 time=0.021237854967387886
r(1st stage) = 13384.290, v=3.947 time=0.021259350772010747
r(1st stage) = 13386.179, v=3.946 time=0.021280846576633608
r(1st stage) = 13388.061, v=3.945 time=0.021302342381256473
r(1st stage) = 13389.933, v=3.944 time=0.021323838185879334
r(1st stage) = 13391.797, v=3.942 time=0.021345333990502195
r(1st stage) = 13393.653, v=3.941 time=0.021366829795125056
r(1st stage) = 13395.500, v=3.940 time=0.02138832559974792
r(1st stage) = 13397.339, v=3.939 time=0.021409821404370782
r(1st stage) = 13399.169, v=3.938 time=0.021431317208993644
r(1st stage) = 13400.991, v=3.937 time=0.02145281301361651
r(1st stage) = 13402.804, v=3.936 time=0.02147430881823937
r(1st stage) = 13404.609, v=3.935 time=0.02149580462286223
r(1st stage) = 13406.405, v=3.934 time=0.021517300427485092
r(1st stage) = 13408.193, v=3.933 time=0.021538796232107957
r(1st stage) = 13409.972, v=3.932 time=0.021560292036730818
r(1st stage) = 13411.743, v=3.931 time=0.02158178784135368
r(1st stage) = 13413.505, v=3.930 time=0.021603283645976544
r(1st stage) = 13415.259, v=3.929 time=0.021624779450599405
r(1st stage) = 13417.004, v=3.928 time=0.021646275255222266
r(1st stage) = 13418.741, v=3.927 time=0.021667771059845128
r(1st stage) = 13420.469, v=3.926 time=0.021689266864467992
r(1st stage) = 13422.189, v=3.925 time=0.021710762669090854
r(1st stage) = 13423.900, v=3.924 time=0.021732258473713715
r(1st stage) = 13425.603, v=3.923 time=0.02175375427833658
r(1st stage) = 13427.297, v=3.922 time=0.02177525008295944
r(1st stage) = 13428.983, v=3.922 time=0.021796745887582302
r(1st stage) = 13430.660, v=3.921 time=0.021818241692205163
r(1st stage) = 13432.328, v=3.920 time=0.021839737496828028
r(1st stage) = 13433.988, v=3.919 time=0.02186123330145089
r(1st stage) = 13435.640, v=3.918 time=0.02188272910607375
r(1st stage) = 13437.282, v=3.917 time=0.021904224910696615
r(1st stage) = 13438.917, v=3.916 time=0.021925720715319477
r(1st stage) = 13440.543, v=3.915 time=0.021947216519942338
r(1st stage) = 13442.160, v=3.914 time=0.0219687123245652
r(1st stage) = 13443.769, v=3.913 time=0.021990208129188064
r(1st stage) = 13445.369, v=3.912 time=0.022011703933810925
r(1st stage) = 13446.960, v=3.911 time=0.022033199738433786
r(1st stage) = 13448.543, v=3.910 time=0.02205469554305665
r(1st stage) = 13450.118, v=3.910 time=0.022076191347679512
r(1st stage) = 13451.683, v=3.909 time=0.022097687152302373
r(1st stage) = 13453.241, v=3.908 time=0.022119182956925235
r(1st stage) = 13454.789, v=3.907 time=0.0221406787615481
r(1st stage) = 13456.329, v=3.906 time=0.02216217456617096
r(1st stage) = 13457.861, v=3.905 time=0.022183670370793822
r(1st stage) = 13459.384, v=3.904 time=0.022205166175416687
r(1st stage) = 13460.898, v=3.904 time=0.022226661980039548
r(1st stage) = 13462.404, v=3.903 time=0.02224815778466241
r(1st stage) = 13463.901, v=3.902 time=0.02226965358928527
r(1st stage) = 13465.390, v=3.901 time=0.022291149393908135
r(1st stage) = 13466.870, v=3.900 time=0.022312645198530996
r(1st stage) = 13468.341, v=3.899 time=0.022334141003153857
r(1st stage) = 13469.804, v=3.898 time=0.022355636807776722
r(1st stage) = 13471.258, v=3.898 time=0.022377132612399583
r(1st stage) = 13472.704, v=3.897 time=0.022398628417022445
r(1st stage) = 13474.141, v=3.896 time=0.022420124221645306
r(1st stage) = 13475.569, v=3.895 time=0.02244162002626817
r(1st stage) = 13476.989, v=3.894 time=0.022463115830891032
r(1st stage) = 13478.400, v=3.894 time=0.022484611635513893
r(1st stage) = 13479.802, v=3.893 time=0.022506107440136758
r(1st stage) = 13481.196, v=3.892 time=0.02252760324475962
r(1st stage) = 13482.581, v=3.891 time=0.02254909904938248
r(1st stage) = 13483.958, v=3.891 time=0.02257059485400534
r(1st stage) = 13485.326, v=3.890 time=0.022592090658628206
r(1st stage) = 13486.685, v=3.889 time=0.022613586463251067
r(1st stage) = 13488.036, v=3.888 time=0.02263508226787393
r(1st stage) = 13489.378, v=3.887 time=0.022656578072496793
r(1st stage) = 13490.711, v=3.887 time=0.022678073877119655
r(1st stage) = 13492.036, v=3.886 time=0.022699569681742516
r(1st stage) = 13493.352, v=3.885 time=0.022721065486365377
r(1st stage) = 13494.660, v=3.884 time=0.022742561290988242
r(1st stage) = 13495.959, v=3.884 time=0.022764057095611103
r(1st stage) = 13497.249, v=3.883 time=0.022785552900233964
r(1st stage) = 13498.530, v=3.882 time=0.02280704870485683
r(1st stage) = 13499.803, v=3.882 time=0.02282854450947969
r(1st stage) = 13501.067, v=3.881 time=0.02285004031410255
r(1st stage) = 13502.323, v=3.880 time=0.022871536118725413
r(1st stage) = 13503.570, v=3.879 time=0.022893031923348277
r(1st stage) = 13504.808, v=3.879 time=0.02291452772797114
r(1st stage) = 13506.038, v=3.878 time=0.022936023532594
r(1st stage) = 13507.259, v=3.877 time=0.022957519337216865
r(1st stage) = 13508.471, v=3.877 time=0.022979015141839726
r(1st stage) = 13509.674, v=3.876 time=0.023000510946462587
r(1st stage) = 13510.869, v=3.875 time=0.02302200675108545
r(1st stage) = 13512.055, v=3.875 time=0.023043502555708313
r(1st stage) = 13513.233, v=3.874 time=0.023064998360331174
r(1st stage) = 13514.402, v=3.873 time=0.023086494164954036
r(1st stage) = 13515.562, v=3.873 time=0.0231079899695769
r(1st stage) = 13516.713, v=3.872 time=0.02312948577419976
r(1st stage) = 13517.856, v=3.871 time=0.023150981578822623
r(1st stage) = 13518.990, v=3.871 time=0.023172477383445484
r(1st stage) = 13520.115, v=3.870 time=0.02319397318806835
r(1st stage) = 13521.232, v=3.870 time=0.02321546899269121
r(1st stage) = 13522.340, v=3.869 time=0.02323696479731407
r(1st stage) = 13523.439, v=3.868 time=0.023258460601936936
r(1st stage) = 13524.530, v=3.868 time=0.023279956406559797
r(1st stage) = 13525.612, v=3.867 time=0.02330145221118266
r(1st stage) = 13526.685, v=3.866 time=0.02332294801580552
r(1st stage) = 13527.749, v=3.866 time=0.023344443820428384
r(1st stage) = 13528.805, v=3.865 time=0.023365939625051246
r(1st stage) = 13529.852, v=3.865 time=0.023387435429674107
r(1st stage) = 13530.890, v=3.864 time=0.02340893123429697
r(1st stage) = 13531.920, v=3.863 time=0.023430427038919833
r(1st stage) = 13532.941, v=3.863 time=0.023451922843542694
r(1st stage) = 13533.953, v=3.862 time=0.023473418648165555
r(1st stage) = 13534.956, v=3.862 time=0.02349491445278842
r(1st stage) = 13535.951, v=3.861 time=0.02351641025741128
r(1st stage) = 13536.937, v=3.861 time=0.023537906062034143
r(1st stage) = 13537.914, v=3.860 time=0.023559401866657007
r(1st stage) = 13538.883, v=3.860 time=0.02358089767127987
r(1st stage) = 13539.842, v=3.859 time=0.02360239347590273
r(1st stage) = 13540.793, v=3.858 time=0.02362388928052559
r(1st stage) = 13541.736, v=3.858 time=0.023645385085148456
r(1st stage) = 13542.669, v=3.857 time=0.023666880889771317
r(1st stage) = 13543.594, v=3.857 time=0.023688376694394178
r(1st stage) = 13544.510, v=3.856 time=0.023709872499017043
r(1st stage) = 13545.418, v=3.856 time=0.023731368303639904
r(1st stage) = 13546.316, v=3.855 time=0.023752864108262765
r(1st stage) = 13547.206, v=3.855 time=0.023774359912885627
r(1st stage) = 13548.087, v=3.854 time=0.02379585571750849
r(1st stage) = 13548.960, v=3.854 time=0.023817351522131353
r(1st stage) = 13549.823, v=3.853 time=0.023838847326754214
r(1st stage) = 13550.678, v=3.853 time=0.02386034313137708
r(1st stage) = 13551.524, v=3.852 time=0.02388183893599994
r(1st stage) = 13552.361, v=3.852 time=0.0239033347406228
r(1st stage) = 13553.190, v=3.852 time=0.023924830545245662
r(1st stage) = 13554.010, v=3.851 time=0.023946326349868527
r(1st stage) = 13554.821, v=3.851 time=0.023967822154491388
r(1st stage) = 13555.623, v=3.850 time=0.02398931795911425
r(1st stage) = 13556.417, v=3.850 time=0.024010813763737114
r(1st stage) = 13557.202, v=3.849 time=0.024032309568359975
r(1st stage) = 13557.978, v=3.849 time=0.024053805372982837
r(1st stage) = 13558.745, v=3.848 time=0.024075301177605698
r(1st stage) = 13559.503, v=3.848 time=0.024096796982228563
r(1st stage) = 13560.253, v=3.848 time=0.024118292786851424
r(1st stage) = 13560.994, v=3.847 time=0.024139788591474285
r(1st stage) = 13561.726, v=3.847 time=0.02416128439609715
r(1st stage) = 13562.450, v=3.846 time=0.02418278020072001
r(1st stage) = 13563.164, v=3.846 time=0.024204276005342872
r(1st stage) = 13563.870, v=3.845 time=0.024225771809965733
r(1st stage) = 13564.567, v=3.845 time=0.024247267614588598
r(1st stage) = 13565.255, v=3.845 time=0.02426876341921146
r(1st stage) = 13565.935, v=3.844 time=0.02429025922383432
r(1st stage) = 13566.606, v=3.844 time=0.024311755028457185
r(1st stage) = 13567.268, v=3.844 time=0.024333250833080047
r(1st stage) = 13567.921, v=3.843 time=0.024354746637702908
r(1st stage) = 13568.565, v=3.843 time=0.02437624244232577
r(1st stage) = 13569.201, v=3.842 time=0.024397738246948634
r(1st stage) = 13569.827, v=3.842 time=0.024419234051571495
r(1st stage) = 13570.445, v=3.842 time=0.024440729856194356
r(1st stage) = 13571.055, v=3.841 time=0.02446222566081722
r(1st stage) = 13571.655, v=3.841 time=0.024483721465440082
r(1st stage) = 13572.247, v=3.841 time=0.024505217270062944
r(1st stage) = 13572.830, v=3.840 time=0.024526713074685805
r(1st stage) = 13573.404, v=3.840 time=0.02454820887930867
r(1st stage) = 13573.969, v=3.840 time=0.02456970468393153
r(1st stage) = 13574.525, v=3.839 time=0.024591200488554392
r(1st stage) = 13575.073, v=3.839 time=0.024612696293177257
r(1st stage) = 13575.612, v=3.839 time=0.024634192097800118
r(1st stage) = 13576.142, v=3.839 time=0.02465568790242298
r(1st stage) = 13576.663, v=3.838 time=0.02467718370704584
r(1st stage) = 13577.175, v=3.838 time=0.024698679511668705
r(1st stage) = 13577.679, v=3.838 time=0.024720175316291566
r(1st stage) = 13578.174, v=3.837 time=0.024741671120914428
r(1st stage) = 13578.660, v=3.837 time=0.02476316692553729
r(1st stage) = 13579.137, v=3.837 time=0.024784662730160154
r(1st stage) = 13579.605, v=3.837 time=0.024806158534783015
r(1st stage) = 13580.065, v=3.836 time=0.024827654339405876
r(1st stage) = 13580.516, v=3.836 time=0.02484915014402874
r(1st stage) = 13580.958, v=3.836 time=0.024870645948651602
r(1st stage) = 13581.391, v=3.836 time=0.024892141753274463
r(1st stage) = 13581.815, v=3.835 time=0.024913637557897324
r(1st stage) = 13582.231, v=3.835 time=0.02493513336252019
r(1st stage) = 13582.637, v=3.835 time=0.02495662916714305
r(1st stage) = 13583.035, v=3.835 time=0.02497812497176591
r(1st stage) = 13583.424, v=3.834 time=0.024999620776388776
r(1st stage) = 13583.805, v=3.834 time=0.025021116581011638
r(1st stage) = 13584.176, v=3.834 time=0.0250426123856345
r(1st stage) = 13584.539, v=3.834 time=0.02506410819025736
r(1st stage) = 13584.893, v=3.834 time=0.025085603994880225
r(1st stage) = 13585.238, v=3.833 time=0.025107099799503086
r(1st stage) = 13585.574, v=3.833 time=0.025128595604125947
r(1st stage) = 13585.901, v=3.833 time=0.025150091408748812
r(1st stage) = 13586.220, v=3.833 time=0.025171587213371673
r(1st stage) = 13586.529, v=3.833 time=0.025193083017994534
r(1st stage) = 13586.830, v=3.833 time=0.025214578822617396
r(1st stage) = 13587.122, v=3.832 time=0.02523607462724026
r(1st stage) = 13587.406, v=3.832 time=0.02525757043186312
r(1st stage) = 13587.680, v=3.832 time=0.025279066236485983
r(1st stage) = 13587.946, v=3.832 time=0.025300562041108848
r(1st stage) = 13588.202, v=3.832 time=0.02532205784573171
r(1st stage) = 13588.450, v=3.832 time=0.02534355365035457
r(1st stage) = 13588.689, v=3.832 time=0.02536504945497743
r(1st stage) = 13588.920, v=3.831 time=0.025386545259600296
r(1st stage) = 13589.141, v=3.831 time=0.025408041064223157
r(1st stage) = 13589.354, v=3.831 time=0.02542953686884602
r(1st stage) = 13589.558, v=3.831 time=0.025451032673468883
r(1st stage) = 13589.753, v=3.831 time=0.025472528478091745
r(1st stage) = 13589.939, v=3.831 time=0.025494024282714606
r(1st stage) = 13590.116, v=3.831 time=0.025515520087337467
r(1st stage) = 13590.285, v=3.831 time=0.02553701589196033
r(1st stage) = 13590.444, v=3.831 time=0.025558511696583193
r(1st stage) = 13590.595, v=3.830 time=0.025580007501206054
r(1st stage) = 13590.737, v=3.830 time=0.02560150330582892
r(1st stage) = 13590.870, v=3.830 time=0.02562299911045178
r(1st stage) = 13590.995, v=3.830 time=0.02564449491507464
r(1st stage) = 13591.110, v=3.830 time=0.025665990719697503
r(1st stage) = 13591.217, v=3.830 time=0.025687486524320367
r(1st stage) = 13591.315, v=3.830 time=0.02570898232894323
r(1st stage) = 13591.404, v=3.830 time=0.02573047813356609
r(1st stage) = 13591.484, v=3.830 time=0.025751973938188955
r(1st stage) = 13591.555, v=3.830 time=0.025773469742811816
r(1st stage) = 13591.618, v=3.830 time=0.025794965547434677
r(1st stage) = 13591.671, v=3.830 time=0.025816461352057538
r(1st stage) = 13591.716, v=3.830 time=0.025837957156680403
r(1st stage) = 13591.752, v=3.830 time=0.025859452961303264
r(1st stage) = 13591.780, v=3.830 time=0.025880948765926125
r(1st stage) = 13591.798, v=3.830 time=0.02590244457054899
r(1st stage) = 13591.807, v=3.830 time=0.02592394037517185
r(1st stage) = 13591.808, v=3.830 time=0.025945436179794713
r(1st stage) = 13591.804, v=3.830 time=0.025966931984417574
r(1st stage) = 13591.794, v=3.830 time=0.02598842778904044
r(1st stage) = 13591.780, v=3.830 time=0.0260099235936633
r(1st stage) = 13591.760, v=3.830 time=0.02603141939828616
r(1st stage) = 13591.736, v=3.830 time=0.026052915202909026
r(1st stage) = 13591.706, v=3.830 time=0.026074411007531887
r(1st stage) = 13591.672, v=3.830 time=0.02609590681215475
r(1st stage) = 13591.633, v=3.830 time=0.02611740261677761
r(1st stage) = 13591.588, v=3.830 time=0.026138898421400474
r(1st stage) = 13591.539, v=3.830 time=0.026160394226023335
r(1st stage) = 13591.485, v=3.830 time=0.026181890030646197
r(1st stage) = 13591.425, v=3.830 time=0.02620338583526906
r(1st stage) = 13591.361, v=3.830 time=0.026224881639891923
r(1st stage) = 13591.292, v=3.830 time=0.026246377444514784
r(1st stage) = 13591.218, v=3.830 time=0.026267873249137645
r(1st stage) = 13591.138, v=3.830 time=0.02628936905376051
r(1st stage) = 13591.054, v=3.830 time=0.02631086485838337
r(1st stage) = 13590.965, v=3.830 time=0.026332360663006232
r(1st stage) = 13590.871, v=3.830 time=0.026353856467629097
r(1st stage) = 13590.772, v=3.830 time=0.02637535227225196
r(1st stage) = 13590.668, v=3.830 time=0.02639684807687482
r(1st stage) = 13590.559, v=3.830 time=0.02641834388149768
r(1st stage) = 13590.445, v=3.831 time=0.026439839686120545
r(1st stage) = 13590.326, v=3.831 time=0.026461335490743407
r(1st stage) = 13590.201, v=3.831 time=0.026482831295366268
r(1st stage) = 13590.072, v=3.831 time=0.026504327099989133
r(1st stage) = 13589.938, v=3.831 time=0.026525822904611994
r(1st stage) = 13589.799, v=3.831 time=0.026547318709234855
r(1st stage) = 13589.655, v=3.831 time=0.026568814513857716
r(1st stage) = 13589.506, v=3.831 time=0.02659031031848058
r(1st stage) = 13589.352, v=3.831 time=0.026611806123103442
r(1st stage) = 13589.193, v=3.831 time=0.026633301927726304
r(1st stage) = 13589.029, v=3.831 time=0.02665479773234917
r(1st stage) = 13588.860, v=3.831 time=0.02667629353697203
r(1st stage) = 13588.686, v=3.832 time=0.02669778934159489
r(1st stage) = 13588.506, v=3.832 time=0.026719285146217752
r(1st stage) = 13588.322, v=3.832 time=0.026740780950840617
r(1st stage) = 13588.133, v=3.832 time=0.026762276755463478
r(1st stage) = 13587.939, v=3.832 time=0.02678377256008634
r(1st stage) = 13587.739, v=3.832 time=0.026805268364709204
r(1st stage) = 13587.535, v=3.832 time=0.026826764169332065
r(1st stage) = 13587.326, v=3.832 time=0.026848259973954926
r(1st stage) = 13587.111, v=3.832 time=0.026869755778577788
r(1st stage) = 13586.892, v=3.833 time=0.026891251583200652
r(1st stage) = 13586.667, v=3.833 time=0.026912747387823514
r(1st stage) = 13586.438, v=3.833 time=0.026934243192446375
r(1st stage) = 13586.203, v=3.833 time=0.02695573899706924
r(1st stage) = 13585.964, v=3.833 time=0.0269772348016921
r(1st stage) = 13585.719, v=3.833 time=0.026998730606314962
r(1st stage) = 13585.469, v=3.833 time=0.027020226410937823
r(1st stage) = 13585.214, v=3.833 time=0.027041722215560688
r(1st stage) = 13584.954, v=3.834 time=0.02706321802018355
r(1st stage) = 13584.689, v=3.834 time=0.02708471382480641
r(1st stage) = 13584.419, v=3.834 time=0.027106209629429275
r(1st stage) = 13584.144, v=3.834 time=0.027127705434052136
r(1st stage) = 13583.863, v=3.834 time=0.027149201238674998
r(1st stage) = 13583.578, v=3.834 time=0.02717069704329786
r(1st stage) = 13583.288, v=3.835 time=0.027192192847920724
r(1st stage) = 13582.992, v=3.835 time=0.027213688652543585
r(1st stage) = 13582.691, v=3.835 time=0.027235184457166446
r(1st stage) = 13582.385, v=3.835 time=0.02725668026178931
r(1st stage) = 13582.074, v=3.835 time=0.027278176066412172
r(1st stage) = 13581.758, v=3.835 time=0.027299671871035033
r(1st stage) = 13581.437, v=3.836 time=0.027321167675657895
r(1st stage) = 13581.111, v=3.836 time=0.02734266348028076
r(1st stage) = 13580.779, v=3.836 time=0.02736415928490362
r(1st stage) = 13580.442, v=3.836 time=0.027385655089526482
r(1st stage) = 13580.100, v=3.836 time=0.027407150894149346
r(1st stage) = 13579.753, v=3.837 time=0.027428646698772208
r(1st stage) = 13579.401, v=3.837 time=0.02745014250339507
r(1st stage) = 13579.044, v=3.837 time=0.02747163830801793
r(1st stage) = 13578.681, v=3.837 time=0.027493134112640795
r(1st stage) = 13578.314, v=3.837 time=0.027514629917263656
r(1st stage) = 13577.941, v=3.838 time=0.027536125721886517
r(1st stage) = 13577.563, v=3.838 time=0.027557621526509382
r(1st stage) = 13577.179, v=3.838 time=0.027579117331132243
r(1st stage) = 13576.791, v=3.838 time=0.027600613135755105
r(1st stage) = 13576.397, v=3.838 time=0.027622108940377966
r(1st stage) = 13575.998, v=3.839 time=0.02764360474500083
r(1st stage) = 13575.594, v=3.839 time=0.027665100549623692
r(1st stage) = 13575.185, v=3.839 time=0.027686596354246553
r(1st stage) = 13574.770, v=3.839 time=0.027708092158869418
r(1st stage) = 13574.350, v=3.840 time=0.02772958796349228
r(1st stage) = 13573.925, v=3.840 time=0.02775108376811514
r(1st stage) = 13573.495, v=3.840 time=0.027772579572738
r(1st stage) = 13573.059, v=3.840 time=0.027794075377360866
r(1st stage) = 13572.618, v=3.841 time=0.027815571181983727
r(1st stage) = 13572.172, v=3.841 time=0.02783706698660659
r(1st stage) = 13571.720, v=3.841 time=0.027858562791229453
r(1st stage) = 13571.264, v=3.841 time=0.027880058595852315
r(1st stage) = 13570.801, v=3.842 time=0.027901554400475176
r(1st stage) = 13570.334, v=3.842 time=0.027923050205098037
r(1st stage) = 13569.861, v=3.842 time=0.027944546009720902
r(1st stage) = 13569.383, v=3.842 time=0.027966041814343763
r(1st stage) = 13568.900, v=3.843 time=0.027987537618966624
r(1st stage) = 13568.411, v=3.843 time=0.02800903342358949
r(1st stage) = 13567.917, v=3.843 time=0.02803052922821235
r(1st stage) = 13567.417, v=3.843 time=0.02805202503283521
r(1st stage) = 13566.913, v=3.844 time=0.028073520837458073
r(1st stage) = 13566.402, v=3.844 time=0.028095016642080937
r(1st stage) = 13565.887, v=3.844 time=0.0281165124467038
r(1st stage) = 13565.366, v=3.845 time=0.02813800825132666
r(1st stage) = 13564.840, v=3.845 time=0.028159504055949525
r(1st stage) = 13564.308, v=3.845 time=0.028180999860572386
r(1st stage) = 13563.771, v=3.846 time=0.028202495665195247
r(1st stage) = 13563.228, v=3.846 time=0.02822399146981811
r(1st stage) = 13562.680, v=3.846 time=0.028245487274440973
r(1st stage) = 13562.126, v=3.846 time=0.028266983079063834
r(1st stage) = 13561.568, v=3.847 time=0.028288478883686696
r(1st stage) = 13561.003, v=3.847 time=0.02830997468830956
r(1st stage) = 13560.433, v=3.847 time=0.02833147049293242
r(1st stage) = 13559.858, v=3.848 time=0.028352966297555283
r(1st stage) = 13559.277, v=3.848 time=0.028374462102178144
r(1st stage) = 13558.691, v=3.848 time=0.02839595790680101
r(1st stage) = 13558.099, v=3.849 time=0.02841745371142387
r(1st stage) = 13557.502, v=3.849 time=0.02843894951604673
r(1st stage) = 13556.899, v=3.849 time=0.028460445320669596
r(1st stage) = 13556.290, v=3.850 time=0.028481941125292457
r(1st stage) = 13555.676, v=3.850 time=0.02850343692991532
r(1st stage) = 13555.057, v=3.850 time=0.02852493273453818
r(1st stage) = 13554.432, v=3.851 time=0.028546428539161044
r(1st stage) = 13553.801, v=3.851 time=0.028567924343783906
r(1st stage) = 13553.165, v=3.852 time=0.028589420148406767
r(1st stage) = 13552.523, v=3.852 time=0.02861091595302963
r(1st stage) = 13551.876, v=3.852 time=0.028632411757652493
r(1st stage) = 13551.223, v=3.853 time=0.028653907562275354
r(1st stage) = 13550.564, v=3.853 time=0.028675403366898215
r(1st stage) = 13549.900, v=3.853 time=0.02869689917152108
r(1st stage) = 13549.230, v=3.854 time=0.02871839497614394
r(1st stage) = 13548.555, v=3.854 time=0.028739890780766802
r(1st stage) = 13547.873, v=3.855 time=0.028761386585389667
r(1st stage) = 13547.186, v=3.855 time=0.02878288239001253
r(1st stage) = 13546.494, v=3.855 time=0.02880437819463539
r(1st stage) = 13545.796, v=3.856 time=0.02882587399925825
r(1st stage) = 13545.092, v=3.856 time=0.028847369803881116
r(1st stage) = 13544.382, v=3.856 time=0.028868865608503977
r(1st stage) = 13543.667, v=3.857 time=0.028890361413126838
r(1st stage) = 13542.945, v=3.857 time=0.028911857217749703
r(1st stage) = 13542.218, v=3.858 time=0.028933353022372564
